f1,shd,graph,function,alpha
0.6086956521739131,9,balanced,additive,0.2
0.5833333333333334,10,balanced,linear,0.3
0.5925925925925926,11,balanced,non_diff,0.2
0.5925925925925926,11,balanced,additive,0.3
0.6086956521739131,9,balanced,linear,0.2
0.6086956521739131,9,balanced,non_diff,0.3
0.0,12,unbalanced,additive,0.2
0.6363636363636365,8,unbalanced,linear,0.3
0.6086956521739131,9,unbalanced,non_diff,0.2
0.6363636363636365,8,unbalanced,additive,0.3
0.6086956521739131,9,unbalanced,linear,0.2
0.6086956521739131,9,unbalanced,non_diff,0.3
